Candidato - nome de urna,Part./Colig.,Votos,% (*)
ELIANE TURRA,NOVO,438,"0,04"
ELIAS CAMILLO,PMN,20,0
ELIAS DIAS,PRTB,29,0
ELIAS LALUZ ABRAS,PTB,1277,"0,11"
ELIEZER SABINO,PSB,61,"0,01"
ELISANGELA DOS SANTOS,PT,51,0
ELIZETE MARTINS,REPUBLICANOS,244,"0,02"
ELIZETE MOTA,PSC,64,"0,01"
ELO÷SA NOGUEIRA,REPUBLICANOS,20,0
ELTON KEKE,PSB,227,"0,02"
ELVIRO PORTO,PSB,46,0
ELVIRO SAMPAIO,REPUBLICANOS,97,"0,01"
ELVIS C‚RTES,PSD,2179,"0,19"
ELZI BARBOSA,PSB,38,0
EMANOEL SADY DO SINTTRAV,MDB,852,"0,07"
EMANUEL BONFANTE,PCB,65,"0,01"
EMANUEL SILVA,AVANTE,171,"0,01"
EMBAIXADOR C‡SMICO DA PAZ,PRTB,22,0
EMERSON ALEX,SOLIDARIEDADE,456,"0,04"
EMERSON MISAEL,PRTB,151,"0,01"
EMERSON RODRIGUES,REDE,721,"0,06"
ENDINHO DO SAL«O,PL,86,"0,01"
ENFERMEIRO EDEVAL,MDB,436,"0,04"
ENFERMEIRO GABRIEL VENTURA,REPUBLICANOS,241,"0,02"
ENFERMEIRO HUD,PT,1658,"0,14"
ENG. WELLINGTON LUCAS,PSL,412,"0,04"
ENGENHEIRO FABR÷CIO,REDE,974,"0,08"
ENIR PEREIRA,PL,115,"0,01"
ERIKA LOPES,PATRIOTA,141,"0,01"
ERMINDA MARQUES,PT,146,"0,01"
ERNANE DE CµSSIO,CIDADANIA,19,0
ERNANE PITANGUI,REPUBLICANOS,415,"0,04"
ESPIG«O DO GµS,DEM,233,"0,02"
ESTOFADO COSTA,PSC,27,0
EUDES MARIANO DO SAL«O,MDB,394,"0,03"
EULINA CRISTINA,PP,286,"0,02"
EVA AMBULANTE,PSB,27,0
EVA MEDEIROS,REPUBLICANOS,52,0
EVALDO ALVES,REPUBLICANOS,112,"0,01"
EVALDO DUARTE,PATRIOTA,53,0
EVANDRO SOUZA,REDE,1695,"0,15"
EVANGELISTA ANDRê DIAS,PSD,1125,"0,1"
FABIANA MOSSEM,CIDADANIA,20,0
FABIANO DA DROGARIA MENEZES,MDB,1392,"0,12"
FABIO DA PAMPULHA,PSD,12,0
FµBIO DA QUADRA,REDE,459,"0,04"
FABIO DE OLIVEIRA,PSC,14,0
FµBIO RODRIGUES,PTC,286,"0,02"
FµBIO SANTOS,PDT,198,"0,02"
FABRICIO NUNES,REPUBLICANOS,264,"0,02"
FAFATE BITTENCOURT,PSL,33,0
FµTIMA BURGER,PT,75,"0,01"
FELIPE COELHO,REDE,394,"0,03"
FELIPE PIL‡,PP,795,"0,07"
FELIPE PRADO,PSDB,62,"0,01"
FELIPE REIS,PP,137,"0,01"
FELIPE SCARPELLI,AVANTE,736,"0,06"
FELIPPE BRANCO,PSOL,333,"0,03"
FERNANDA FERREIRA,PSD,212,"0,02"
FERNANDA PEREIRA ALTOê,NOVO,6049,"0,52"
FERNANDA SAMPAIO,CIDADANIA,386,"0,03"
FERNANDINHO DO SAMU,PSDB,513,"0,04"
FERNANDO DE NORONHA,PSB,236,"0,02"
FERNANDO FILHO DO PEREIRA,PSDB,61,"0,01"
FERNANDO LUIZ,PSD,10620,"0,91"
FERNANDO MEIRA DA ONG,PODE,282,"0,02"
FERNANDO SANTANA DO MAMBH,PV,488,"0,04"
FERRARI,SOLIDARIEDADE,70,"0,01"
FERREIRA MOTOBOY,PSD,493,"0,04"
FILIPE BATISTA,SOLIDARIEDADE,2232,"0,19"
FILIPE IKIS,CIDADANIA,934,"0,08"
FILO,PTB,97,"0,01"
FIRMINO DO PICOLê,PL,102,"0,01"
FLµVIA BORJA,AVANTE,5887,"0,5"
FLµVIA FIUZA,NOVO,406,"0,03"
FLAVIO ALEXANDRE,PL,163,"0,01"
FLAVIO CD,MDB,175,"0,01"
FLµVIO DOS SANTOS,PSC,1717,"0,15"
FLAVIO LUCIO,PSB,495,"0,04"
FLAVIO MINEIRO,PV,124,"0,01"
FORMIGA,PSB,5,0
FRANCIELE MORALES,PODE,228,"0,02"
FRANCIELLY LIMA,REPUBLICANOS,3,0
